16 1000 8037
0 0 -3.859900e+02 3.871200e+02
1 0 -3.844000e+01 4.921200e+02
2 0 -6.679200e+02 1.231100e+02
7 0 -5.991800e+02 4.079300e+02
12 0 -7.204300e+02 3.143400e+02
13 0 -1.151300e+02 5.548999e+01
0 1 3.838800e+02 -1.529999e+01
1 1 5.597500e+02 -1.061500e+02
10 1 3.531899e+02 1.649500e+02
0 2 5.915500e+02 1.364400e+02
1 2 8.638600e+02 -2.346997e+01
2 2 4.947200e+02 1.125200e+02
6 2 4.087800e+02 2.846700e+02
7 2 4.246100e+02 3.101700e+02
9 2 2.848900e+02 1.928900e+02
10 2 5.826200e+02 3.637200e+02
12 2 4.940601e+02 2.939500e+02
13 2 7.968300e+02 -7.853003e+01
15 2 7.798900e+02 4.082500e+02
0 3 5.925000e+02 1.257500e+02
1 3 8.610800e+02 -3.521997e+01
2 3 4.985400e+02 1.015600e+02
6 3 4.123100e+02 2.729200e+02
7 3 4.267300e+02 2.995900e+02
8 3 4.683800e+02 5.512000e+01
9 3 2.879500e+02 1.839400e+02
10 3 5.840500e+02 3.509700e+02
12 3 4.973199e+02 2.825100e+02
15 3 7.819500e+02 3.932600e+02
0 4 3.487200e+02 5.583800e+02
1 4 7.760300e+02 4.835300e+02
2 4 7.780029e+00 3.263500e+02
3 4 -1.372400e+02 -7.799988e+00
5 4 7.500699e+02 -7.871997e+01
6 4 -1.160900e+02 6.642200e+02
8 4 8.704999e+01 2.563100e+02
9 4 -1.471900e+02 3.578000e+02
11 4 4.569200e+02 -1.971600e+02
13 4 4.635800e+02 2.410300e+02
14 4 6.482500e+02 -1.595700e+02
0 5 1.401001e+01 9.642001e+01
1 5 2.071300e+02 1.183600e+02
3 5 1.859003e+01 -2.068000e+02
4 5 -2.095300e+02 -4.217600e+02
5 5 6.350900e+02 -5.616200e+02
6 5 -6.738000e+01 1.258300e+02
7 5 -9.081000e+01 2.093600e+02
8 5 1.251800e+02 4.523999e+01
9 5 -2.071997e+01 1.799200e+02
10 5 -8.720001e+01 2.550200e+02
13 5 3.672600e+02 -1.403400e+02
15 5 -2.814001e+01 2.705200e+02
0 6 2.027600e+02 3.409900e+02
1 6 5.431801e+02 2.948100e+02
2 6 -5.841998e+01 1.108300e+02
6 6 -1.970800e+02 3.693100e+02
9 6 -1.916600e+02 1.693800e+02
10 6 1.095900e+02 5.662500e+02
12 6 -4.534003e+01 3.656000e+02
13 6 3.698700e+02 4.792999e+01
14 6 5.376000e+02 -3.953000e+02
0 7 2.784998e+01 6.340997e+01
1 7 2.076700e+02 8.259000e+01
3 7 5.706000e+01 -2.246000e+02
4 7 -2.321000e+02 -4.337000e+02
5 7 6.628300e+02 -5.977400e+02
6 7 -3.060999e+01 9.716998e+01
7 7 -6.769000e+01 1.800300e+02
8 7 1.541100e+02 2.748001e+01
10 7 -6.696997e+01 2.173500e+02
12 7 -1.144000e+01 1.517900e+02
13 7 3.881100e+02 -1.658300e+02
15 7 -5.020020e+00 2.274200e+02
0 8 -2.750000e+01 9.788000e+01
1 8 1.702000e+02 1.310200e+02
3 8 -3.317999e+01 -2.263400e+02
4 8 -2.051100e+02 -3.883200e+02
5 8 5.803199e+02 -5.634100e+02
6 8 -1.245300e+02 1.102100e+02
7 8 -1.350300e+02 2.014500e+02
8 8 8.146002e+01 3.072000e+01
10 8 -1.359700e+02 2.526800e+02
12 8 -9.739001e+01 1.646700e+02
13 8 3.259200e+02 -1.444000e+02
15 8 -8.390997e+01 2.669100e+02
0 9 -2.878700e+02 4.245500e+02
1 9 6.648999e+01 5.046000e+02
5 9 1.167700e+02 -2.296800e+02
8 9 -3.860500e+02 1.203500e+02
11 9 -1.079600e+02 -3.335700e+02
13 9 -3.758002e+01 9.117999e+01
14 9 3.228998e+01 -3.212400e+02
0 10 2.057800e+02 4.791800e+02
1 10 5.918000e+02 4.354700e+02
3 10 -2.434800e+02 -9.378998e+01
5 10 6.078101e+02 -1.671800e+02
7 10 -2.639001e+01 5.679100e+02
14 10 5.138800e+02 -2.489400e+02
0 11 -3.105400e+02 3.763300e+02
1 11 3.300000e+01 4.634700e+02
2 11 -5.909000e+02 1.078800e+02
7 11 -5.205800e+02 4.047900e+02
8 11 -4.043000e+02 7.310999e+01
11 11 -1.296200e+02 -3.755400e+02
12 11 -6.313300e+02 3.121400e+02
13 11 -5.696997e+01 4.944000e+01
14 11 6.109985e+00 -3.718900e+02
0 12 -2.168800e+02 -4.861600e+02
1 12 -1.780400e+02 -3.683000e+02
0 13 -3.132700e+02 4.044100e+02
1 13 3.688000e+01 4.912400e+02
7 13 -5.272300e+02 4.339600e+02
10 13 -5.121800e+02 5.931300e+02
11 13 -1.306200e+02 -3.524300e+02
12 13 -6.389500e+02 3.464000e+02
0 14 -4.466800e+02 2.216200e+02
1 14 -1.351100e+02 3.486600e+02
5 14 -6.496002e+01 -4.504900e+02
7 14 -6.385100e+02 2.242000e+02
10 14 -6.492300e+02 3.592700e+02
11 14 -2.603000e+02 -5.149000e+02
0 15 -3.948000e+02 3.086400e+02
1 15 -6.462000e+01 4.186700e+02
5 15 -3.280029e+00 -3.539900e+02
7 15 -5.980400e+02 3.229200e+02
8 15 -4.761100e+02 1.820007e+00
10 15 -5.981700e+02 4.687200e+02
11 15 -2.072500e+02 -4.353200e+02
13 15 -1.271600e+02 -1.440002e+01
14 15 -8.452002e+01 -4.475601e+02
15 15 -6.041500e+02 5.064400e+02
0 16 -3.705100e+02 3.271000e+02
1 16 -3.682001e+01 4.306000e+02
5 16 2.346997e+01 -3.346800e+02
7 16 -5.754700e+02 3.454500e+02
8 16 -4.551500e+02 2.050000e+01
10 16 -5.711700e+02 4.937700e+02
11 16 -1.851900e+02 -4.192400e+02
12 16 -6.937400e+02 2.401900e+02
15 16 -5.738200e+02 5.354800e+02
0 17 -5.534700e+02 4.375600e+02
1 17 -1.853700e+02 5.787300e+02
11 17 -3.367200e+02 -3.189600e+02
0 18 -4.341400e+02 4.274400e+02
1 18 -7.542999e+01 5.424400e+02
2 18 -7.231700e+02 1.731400e+02
10 18 -6.657300e+02 6.132900e+02
0 19 -5.044400e+02 3.330700e+02
1 19 -1.632600e+02 4.683200e+02
5 19 -1.100300e+02 -3.237900e+02
7 19 -7.171000e+02 3.349000e+02
8 19 -5.770300e+02 2.210999e+01
10 19 -7.381500e+02 4.900900e+02
15 19 -7.633900e+02 5.258700e+02
0 20 -5.365200e+02 2.877000e+02
1 20 -2.035200e+02 4.333000e+02
7 20 -7.445700e+02 2.824400e+02
13 20 -2.435300e+02 -3.773999e+01
15 20 -7.996900e+02 4.587900e+02
0 21 -5.267900e+02 2.775900e+02
1 21 -1.966700e+02 4.214600e+02
5 21 -1.414300e+02 -3.843900e+02
7 21 -7.326900e+02 2.729400e+02
10 21 -7.574700e+02 4.203400e+02
11 21 -3.277800e+02 -4.606100e+02
13 21 -2.362100e+02 -4.604999e+01
14 21 -2.221800e+02 -4.812200e+02
15 21 -7.843600e+02 4.459000e+02
0 22 -4.797200e+02 4.078300e+02
1 22 -1.228300e+02 5.340200e+02
5 22 -7.429999e+01 -2.439400e+02
7 22 -7.020000e+02 4.191500e+02
8 22 -5.541900e+02 1.003900e+02
11 22 -2.763800e+02 -3.458400e+02
13 22 -1.917000e+02 7.029999e+01
