number of cameras: 16 , number of points: 22106 , number of observations: 83718 , iteration method: GN , initial lambda: 2.000000 , solve equations method: CG

successful step! iteration = 0 , error before = 45352606.330484 , error next = 8491311.058305 , error change = 36861295.272179 , lambda = 0.200000 , time consumption = 0.478411s

unsuccessful step! iteration = 1 , error before = 8491311.058305 , error next = 307402475.890468 , error change = -298911164.832163 , lambda = 2.000000 , time consumption = 0.465542s

successful step! iteration = 2 , error before = 8491311.058305 , error next = 2342663.986576 , error change = 6148647.071729 , lambda = 0.200000 , time consumption = 0.459885s

unsuccessful step! iteration = 3 , error before = 2342663.986576 , error next = 17870455.499715 , error change = -15527791.513139 , lambda = 2.000000 , time consumption = 0.464408s

successful step! iteration = 4 , error before = 2342663.986576 , error next = 1000448.274556 , error change = 1342215.712021 , lambda = 0.200000 , time consumption = 0.461115s

unsuccessful step! iteration = 5 , error before = 1000448.274556 , error next = 4358864.396373 , error change = -3358416.121817 , lambda = 2.000000 , time consumption = 0.463870s

successful step! iteration = 6 , error before = 1000448.274556 , error next = 566987.927896 , error change = 433460.346659 , lambda = 0.200000 , time consumption = 0.462312s

unsuccessful step! iteration = 7 , error before = 566987.927896 , error next = 2017790.505316 , error change = -1450802.577419 , lambda = 2.000000 , time consumption = 0.462807s

successful step! iteration = 8 , error before = 566987.927896 , error next = 377732.714156 , error change = 189255.213740 , lambda = 0.200000 , time consumption = 0.460372s

unsuccessful step! iteration = 9 , error before = 377732.714156 , error next = 1037111.607478 , error change = -659378.893322 , lambda = 2.000000 , time consumption = 0.463512s

successful step! iteration = 10 , error before = 377732.714156 , error next = 281015.825475 , error change = 96716.888681 , lambda = 0.200000 , time consumption = 0.469167s

unsuccessful step! iteration = 11 , error before = 281015.825475 , error next = 597774.308001 , error change = -316758.482526 , lambda = 2.000000 , time consumption = 0.455057s

successful step! iteration = 12 , error before = 281015.825475 , error next = 227112.342457 , error change = 53903.483018 , lambda = 0.200000 , time consumption = 0.453742s

unsuccessful step! iteration = 13 , error before = 227112.342457 , error next = 387134.008286 , error change = -160021.665829 , lambda = 2.000000 , time consumption = 0.453363s

successful step! iteration = 14 , error before = 227112.342457 , error next = 195026.997319 , error change = 32085.345138 , lambda = 0.200000 , time consumption = 0.456195s

unsuccessful step! iteration = 15 , error before = 195026.997319 , error next = 280322.376459 , error change = -85295.379140 , lambda = 2.000000 , time consumption = 0.454345s

successful step! iteration = 16 , error before = 195026.997319 , error next = 174710.453867 , error change = 20316.543452 , lambda = 0.200000 , time consumption = 0.455169s

unsuccessful step! iteration = 17 , error before = 174710.453867 , error next = 222843.285083 , error change = -48132.831217 , lambda = 2.000000 , time consumption = 0.454586s

successful step! iteration = 18 , error before = 174710.453867 , error next = 161036.329941 , error change = 13674.123925 , lambda = 0.200000 , time consumption = 0.461996s

unsuccessful step! iteration = 19 , error before = 161036.329941 , error next = 190026.163510 , error change = -28989.833568 , lambda = 2.000000 , time consumption = 0.462964s

successful step! iteration = 20 , error before = 161036.329941 , error next = 151273.555607 , error change = 9762.774334 , lambda = 0.200000 , time consumption = 0.461654s

unsuccessful step! iteration = 21 , error before = 151273.555607 , error next = 169984.138101 , error change = -18710.582494 , lambda = 2.000000 , time consumption = 0.461790s

successful step! iteration = 22 , error before = 151273.555607 , error next = 143917.307860 , error change = 7356.247747 , lambda = 0.200000 , time consumption = 0.461026s

unsuccessful step! iteration = 23 , error before = 143917.307860 , error next = 156812.206007 , error change = -12894.898147 , lambda = 2.000000 , time consumption = 0.463337s

successful step! iteration = 24 , error before = 143917.307860 , error next = 138108.636545 , error change = 5808.671315 , lambda = 0.200000 , time consumption = 0.458616s

unsuccessful step! iteration = 25 , error before = 138108.636545 , error next = 147589.799116 , error change = -9481.162571 , lambda = 2.000000 , time consumption = 0.466642s

successful step! iteration = 26 , error before = 138108.636545 , error next = 133340.476016 , error change = 4768.160529 , lambda = 0.200000 , time consumption = 0.469599s

