number of cameras: 16 , number of points: 22106 , number of observations: 83718 , iteration method: GN , initial lambda: 2.000000 , solve equations method: PCG-BW-15

successful step! iteration = 0 , error before = 45352606.330484 , error next = 8492009.869984 , error change = 36860596.460500 , lambda = 0.200000 , time consumption = 0.479050s

unsuccessful step! iteration = 1 , error before = 8492009.869984 , error next = 193716473.984825 , error change = -185224464.114841 , lambda = 2.000000 , time consumption = 0.472214s

successful step! iteration = 2 , error before = 8492009.869984 , error next = 2342963.979710 , error change = 6149045.890274 , lambda = 0.200000 , time consumption = 0.460973s

unsuccessful step! iteration = 3 , error before = 2342963.979710 , error next = 11268792.257135 , error change = -8925828.277425 , lambda = 2.000000 , time consumption = 0.458897s

successful step! iteration = 4 , error before = 2342963.979710 , error next = 1000560.311999 , error change = 1342403.667711 , lambda = 0.200000 , time consumption = 0.460723s

unsuccessful step! iteration = 5 , error before = 1000560.311999 , error next = 4351105.670025 , error change = -3350545.358026 , lambda = 2.000000 , time consumption = 0.468520s

successful step! iteration = 6 , error before = 1000560.311999 , error next = 567116.835876 , error change = 433443.476123 , lambda = 0.200000 , time consumption = 0.467772s

unsuccessful step! iteration = 7 , error before = 567116.835876 , error next = 2013594.755534 , error change = -1446477.919659 , lambda = 2.000000 , time consumption = 0.460943s

successful step! iteration = 8 , error before = 567116.835876 , error next = 377879.588778 , error change = 189237.247098 , lambda = 0.200000 , time consumption = 0.466038s

unsuccessful step! iteration = 9 , error before = 377879.588778 , error next = 1038562.139497 , error change = -660682.550719 , lambda = 2.000000 , time consumption = 0.462970s

successful step! iteration = 10 , error before = 377879.588778 , error next = 281176.840720 , error change = 96702.748057 , lambda = 0.200000 , time consumption = 0.462346s

unsuccessful step! iteration = 11 , error before = 281176.840720 , error next = 598299.329395 , error change = -317122.488674 , lambda = 2.000000 , time consumption = 0.462668s

successful step! iteration = 12 , error before = 281176.840720 , error next = 227287.736465 , error change = 53889.104255 , lambda = 0.200000 , time consumption = 0.463000s

unsuccessful step! iteration = 13 , error before = 227287.736465 , error next = 387302.067498 , error change = -160014.331033 , lambda = 2.000000 , time consumption = 0.459884s

successful step! iteration = 14 , error before = 227287.736465 , error next = 195215.869776 , error change = 32071.866689 , lambda = 0.200000 , time consumption = 0.461966s

unsuccessful step! iteration = 15 , error before = 195215.869776 , error next = 280394.603888 , error change = -85178.734112 , lambda = 2.000000 , time consumption = 0.459829s

successful step! iteration = 16 , error before = 195215.869776 , error next = 174907.662425 , error change = 20308.207351 , lambda = 0.200000 , time consumption = 0.461898s

