number of cameras: 16 , number of points: 22106 , number of observations: 83718 , iteration method: GN , initial lambda: 2.000000 , solve equations method: PCG-J

successful step! iteration = 0 , error before = 45352606.330484 , error next = 8492006.015823 , error change = 36860600.314661 , lambda = 0.200000 , time consumption = 0.481940s

unsuccessful step! iteration = 1 , error before = 8492006.015823 , error next = 188500208.132782 , error change = -180008202.116958 , lambda = 2.000000 , time consumption = 0.497531s

successful step! iteration = 2 , error before = 8492006.015823 , error next = 2342976.839401 , error change = 6149029.176422 , lambda = 0.200000 , time consumption = 0.484302s

unsuccessful step! iteration = 3 , error before = 2342976.839401 , error next = 11278211.429980 , error change = -8935234.590579 , lambda = 2.000000 , time consumption = 0.472163s

successful step! iteration = 4 , error before = 2342976.839401 , error next = 1000567.128644 , error change = 1342409.710757 , lambda = 0.200000 , time consumption = 0.472103s

unsuccessful step! iteration = 5 , error before = 1000567.128644 , error next = 4351046.386814 , error change = -3350479.258170 , lambda = 2.000000 , time consumption = 0.475773s

successful step! iteration = 6 , error before = 1000567.128644 , error next = 567115.312615 , error change = 433451.816029 , lambda = 0.200000 , time consumption = 0.467026s

unsuccessful step! iteration = 7 , error before = 567115.312615 , error next = 2013554.856330 , error change = -1446439.543715 , lambda = 2.000000 , time consumption = 0.465310s

successful step! iteration = 8 , error before = 567115.312615 , error next = 377872.963098 , error change = 189242.349517 , lambda = 0.200000 , time consumption = 0.468286s

unsuccessful step! iteration = 9 , error before = 377872.963098 , error next = 1038552.331811 , error change = -660679.368713 , lambda = 2.000000 , time consumption = 0.467117s

successful step! iteration = 10 , error before = 377872.963098 , error next = 281167.860775 , error change = 96705.102323 , lambda = 0.200000 , time consumption = 0.485713s

unsuccessful step! iteration = 11 , error before = 281167.860775 , error next = 598291.668626 , error change = -317123.807852 , lambda = 2.000000 , time consumption = 0.471459s

successful step! iteration = 12 , error before = 281167.860775 , error next = 227277.993169 , error change = 53889.867605 , lambda = 0.200000 , time consumption = 0.468602s

unsuccessful step! iteration = 13 , error before = 227277.993169 , error next = 387291.497435 , error change = -160013.504265 , lambda = 2.000000 , time consumption = 0.474099s

successful step! iteration = 14 , error before = 227277.993169 , error next = 195206.127550 , error change = 32071.865620 , lambda = 0.200000 , time consumption = 0.472005s

unsuccessful step! iteration = 15 , error before = 195206.127550 , error next = 280384.412809 , error change = -85178.285259 , lambda = 2.000000 , time consumption = 0.491823s

successful step! iteration = 16 , error before = 195206.127550 , error next = 174898.260612 , error change = 20307.866938 , lambda = 0.200000 , time consumption = 0.475993s

unsuccessful step! iteration = 17 , error before = 174898.260612 , error next = 222996.646682 , error change = -48098.386071 , lambda = 2.000000 , time consumption = 0.504255s

successful step! iteration = 18 , error before = 174898.260612 , error next = 161225.229101 , error change = 13673.031511 , lambda = 0.200000 , time consumption = 0.491397s

unsuccessful step! iteration = 19 , error before = 161225.229101 , error next = 190200.100620 , error change = -28974.871519 , lambda = 2.000000 , time consumption = 0.472426s

successful step! iteration = 20 , error before = 161225.229101 , error next = 151458.828600 , error change = 9766.400501 , lambda = 0.200000 , time consumption = 0.468747s

unsuccessful step! iteration = 21 , error before = 151458.828600 , error next = 170144.846122 , error change = -18686.017522 , lambda = 2.000000 , time consumption = 0.471080s

successful step! iteration = 22 , error before = 151458.828600 , error next = 144095.619976 , error change = 7363.208624 , lambda = 0.200000 , time consumption = 0.477897s

unsuccessful step! iteration = 23 , error before = 144095.619976 , error next = 156991.622567 , error change = -12896.002591 , lambda = 2.000000 , time consumption = 0.471079s

successful step! iteration = 24 , error before = 144095.619976 , error next = 138278.292016 , error change = 5817.327960 , lambda = 0.200000 , time consumption = 0.499159s

unsuccessful step! iteration = 25 , error before = 138278.292016 , error next = 147757.418956 , error change = -9479.126940 , lambda = 2.000000 , time consumption = 0.472271s

successful step! iteration = 26 , error before = 138278.292016 , error next = 133500.819095 , error change = 4777.472921 , lambda = 0.200000 , time consumption = 0.474369s

unsuccessful step! iteration = 27 , error before = 133500.819095 , error next = 140859.496617 , error change = -7358.677522 , lambda = 2.000000 , time consumption = 0.465782s

successful step! iteration = 28 , error before = 133500.819095 , error next = 129453.841448 , error change = 4046.977646 , lambda = 0.200000 , time consumption = 0.466761s

unsuccessful step! iteration = 29 , error before = 129453.841448 , error next = 135428.631933 , error change = -5974.790485 , lambda = 2.000000 , time consumption = 0.474565s

successful step! iteration = 30 , error before = 129453.841448 , error next = 125941.378584 , error change = 3512.462864 , lambda = 0.200000 , time consumption = 0.471649s

unsuccessful step! iteration = 31 , error before = 125941.378584 , error next = 130967.273660 , error change = -5025.895075 , lambda = 2.000000 , time consumption = 0.475624s

successful step! iteration = 32 , error before = 125941.378584 , error next = 122834.774680 , error change = 3106.603904 , lambda = 0.200000 , time consumption = 0.485255s

unsuccessful step! iteration = 33 , error before = 122834.774680 , error next = 127179.027532 , error change = -4344.252852 , lambda = 2.000000 , time consumption = 0.484518s

successful step! iteration = 34 , error before = 122834.774680 , error next = 120046.552405 , error change = 2788.222275 , lambda = 0.200000 , time consumption = 0.482975s

unsuccessful step! iteration = 35 , error before = 120046.552405 , error next = 123880.222890 , error change = -3833.670485 , lambda = 2.000000 , time consumption = 0.473407s

successful step! iteration = 36 , error before = 120046.552405 , error next = 117515.179482 , error change = 2531.372923 , lambda = 0.200000 , time consumption = 0.480934s

unsuccessful step! iteration = 37 , error before = 117515.179482 , error next = 120952.117880 , error change = -3436.938399 , lambda = 2.000000 , time consumption = 0.480650s

