number of cameras: 16 , number of points: 22106 , number of observations: 83718 , iteration method: GN , initial lambda: 2.000000 , solve equations method: PCG-SSOR

successful step! iteration = 0 , error before = 45352606.330484 , error next = 8492004.860743 , error change = 36860601.469741 , lambda = 0.200000 , time consumption = 0.476378s

unsuccessful step! iteration = 1 , error before = 8492004.860743 , error next = 192821683.697309 , error change = -184329678.836566 , lambda = 2.000000 , time consumption = 0.465388s

successful step! iteration = 2 , error before = 8492004.860743 , error next = 2342970.703201 , error change = 6149034.157542 , lambda = 0.200000 , time consumption = 0.486144s

unsuccessful step! iteration = 3 , error before = 2342970.703201 , error next = 11268391.469567 , error change = -8925420.766366 , lambda = 2.000000 , time consumption = 0.474909s

successful step! iteration = 4 , error before = 2342970.703201 , error next = 1000558.290706 , error change = 1342412.412495 , lambda = 0.200000 , time consumption = 0.484594s

unsuccessful step! iteration = 5 , error before = 1000558.290706 , error next = 4350985.911600 , error change = -3350427.620894 , lambda = 2.000000 , time consumption = 0.464048s

successful step! iteration = 6 , error before = 1000558.290706 , error next = 567108.117362 , error change = 433450.173344 , lambda = 0.200000 , time consumption = 0.466766s

unsuccessful step! iteration = 7 , error before = 567108.117362 , error next = 2013489.207001 , error change = -1446381.089639 , lambda = 2.000000 , time consumption = 0.478594s

successful step! iteration = 8 , error before = 567108.117362 , error next = 377867.845584 , error change = 189240.271778 , lambda = 0.200000 , time consumption = 0.472838s

unsuccessful step! iteration = 9 , error before = 377867.845584 , error next = 1038502.741686 , error change = -660634.896102 , lambda = 2.000000 , time consumption = 0.469844s

successful step! iteration = 10 , error before = 377867.845584 , error next = 281164.146255 , error change = 96703.699329 , lambda = 0.200000 , time consumption = 0.471691s

unsuccessful step! iteration = 11 , error before = 281164.146255 , error next = 598283.232386 , error change = -317119.086131 , lambda = 2.000000 , time consumption = 0.472051s

successful step! iteration = 12 , error before = 281164.146255 , error next = 227275.196567 , error change = 53888.949688 , lambda = 0.200000 , time consumption = 0.488824s

unsuccessful step! iteration = 13 , error before = 227275.196567 , error next = 387288.700173 , error change = -160013.503606 , lambda = 2.000000 , time consumption = 0.459463s

successful step! iteration = 14 , error before = 227275.196567 , error next = 195204.010782 , error change = 32071.185785 , lambda = 0.200000 , time consumption = 0.472311s

unsuccessful step! iteration = 15 , error before = 195204.010782 , error next = 280381.414889 , error change = -85177.404107 , lambda = 2.000000 , time consumption = 0.488571s

successful step! iteration = 16 , error before = 195204.010782 , error next = 174896.676185 , error change = 20307.334597 , lambda = 0.200000 , time consumption = 0.477301s

unsuccessful step! iteration = 17 , error before = 174896.676185 , error next = 222995.518082 , error change = -48098.841897 , lambda = 2.000000 , time consumption = 0.463502s

successful step! iteration = 18 , error before = 174896.676185 , error next = 161224.046966 , error change = 13672.629220 , lambda = 0.200000 , time consumption = 0.489403s

unsuccessful step! iteration = 19 , error before = 161224.046966 , error next = 190198.951065 , error change = -28974.904100 , lambda = 2.000000 , time consumption = 0.474326s

successful step! iteration = 20 , error before = 161224.046966 , error next = 151457.945504 , error change = 9766.101462 , lambda = 0.200000 , time consumption = 0.474694s

unsuccessful step! iteration = 21 , error before = 151457.945504 , error next = 170144.328610 , error change = -18686.383106 , lambda = 2.000000 , time consumption = 0.481350s

successful step! iteration = 22 , error before = 151457.945504 , error next = 144094.961330 , error change = 7362.984174 , lambda = 0.200000 , time consumption = 0.469045s

unsuccessful step! iteration = 23 , error before = 144094.961330 , error next = 156991.558383 , error change = -12896.597052 , lambda = 2.000000 , time consumption = 0.477842s

successful step! iteration = 24 , error before = 144094.961330 , error next = 138277.808206 , error change = 5817.153124 , lambda = 0.200000 , time consumption = 0.461201s

unsuccessful step! iteration = 25 , error before = 138277.808206 , error next = 147757.043349 , error change = -9479.235143 , lambda = 2.000000 , time consumption = 0.485035s

successful step! iteration = 26 , error before = 138277.808206 , error next = 133500.474666 , error change = 4777.333540 , lambda = 0.200000 , time consumption = 0.472742s

unsuccessful step! iteration = 27 , error before = 133500.474666 , error next = 140859.147424 , error change = -7358.672757 , lambda = 2.000000 , time consumption = 0.469884s

successful step! iteration = 28 , error before = 133500.474666 , error next = 129453.608758 , error change = 4046.865908 , lambda = 0.200000 , time consumption = 0.477215s

unsuccessful step! iteration = 29 , error before = 129453.608758 , error next = 135428.282953 , error change = -5974.674195 , lambda = 2.000000 , time consumption = 0.470460s

successful step! iteration = 30 , error before = 129453.608758 , error next = 125941.236016 , error change = 3512.372742 , lambda = 0.200000 , time consumption = 0.472658s

unsuccessful step! iteration = 31 , error before = 125941.236016 , error next = 130966.954146 , error change = -5025.718130 , lambda = 2.000000 , time consumption = 0.474447s

successful step! iteration = 32 , error before = 125941.236016 , error next = 122834.704116 , error change = 3106.531901 , lambda = 0.200000 , time consumption = 0.474828s

unsuccessful step! iteration = 33 , error before = 122834.704116 , error next = 127178.814873 , error change = -4344.110757 , lambda = 2.000000 , time consumption = 0.478178s

successful step! iteration = 34 , error before = 122834.704116 , error next = 120046.539085 , error change = 2788.165030 , lambda = 0.200000 , time consumption = 0.471586s

unsuccessful step! iteration = 35 , error before = 120046.539085 , error next = 123880.080839 , error change = -3833.541754 , lambda = 2.000000 , time consumption = 0.476530s

successful step! iteration = 36 , error before = 120046.539085 , error next = 117515.209207 , error change = 2531.329879 , lambda = 0.200000 , time consumption = 0.462622s

unsuccessful step! iteration = 37 , error before = 117515.209207 , error next = 120952.032256 , error change = -3436.823049 , lambda = 2.000000 , time consumption = 0.463378s

successful step! iteration = 38 , error before = 117515.209207 , error next = 115196.012150 , error change = 2319.197057 , lambda = 0.200000 , time consumption = 0.486163s

unsuccessful step! iteration = 39 , error before = 115196.012150 , error next = 118314.852697 , error change = -3118.840548 , lambda = 2.000000 , time consumption = 0.461920s

successful step! iteration = 40 , error before = 115196.012150 , error next = 113055.481456 , error change = 2140.530694 , lambda = 0.200000 , time consumption = 0.465928s

unsuccessful step! iteration = 41 , error before = 113055.481456 , error next = 115912.793949 , error change = -2857.312493 , lambda = 2.000000 , time consumption = 0.475435s

successful step! iteration = 42 , error before = 113055.481456 , error next = 111067.864296 , error change = 1987.617160 , lambda = 0.200000 , time consumption = 0.470940s

unsuccessful step! iteration = 43 , error before = 111067.864296 , error next = 113705.499953 , error change = -2637.635657 , lambda = 2.000000 , time consumption = 0.463559s

successful step! iteration = 44 , error before = 111067.864296 , error next = 109212.848385 , error change = 1855.015910 , lambda = 0.200000 , time consumption = 0.470514s

unsuccessful step! iteration = 45 , error before = 109212.848385 , error next = 111662.783129 , error change = -2449.934744 , lambda = 2.000000 , time consumption = 0.466842s

successful step! iteration = 46 , error before = 109212.848385 , error next = 107474.059473 , error change = 1738.788912 , lambda = 0.200000 , time consumption = 0.473744s

unsuccessful step! iteration = 47 , error before = 107474.059473 , error next = 109761.386651 , error change = -2287.327177 , lambda = 2.000000 , time consumption = 0.462612s

successful step! iteration = 48 , error before = 107474.059473 , error next = 105838.044716 , error change = 1636.014757 , lambda = 0.200000 , time consumption = 0.455023s

unsuccessful step! iteration = 49 , error before = 105838.044716 , error next = 107982.922152 , error change = -2144.877436 , lambda = 2.000000 , time consumption = 0.452744s

successful step! iteration = 50 , error before = 105838.044716 , error next = 104293.568923 , error change = 1544.475793 , lambda = 0.200000 , time consumption = 0.456140s

unsuccessful step! iteration = 51 , error before = 104293.568923 , error next = 106312.519346 , error change = -2018.950423 , lambda = 2.000000 , time consumption = 0.465503s

successful step! iteration = 52 , error before = 104293.568923 , error next = 102831.116650 , error change = 1462.452272 , lambda = 0.200000 , time consumption = 0.467531s

unsuccessful step! iteration = 53 , error before = 102831.116650 , error next = 104737.918189 , error change = -1906.801538 , lambda = 2.000000 , time consumption = 0.470192s

successful step! iteration = 54 , error before = 102831.116650 , error next = 101442.532518 , error change = 1388.584133 , lambda = 0.200000 , time consumption = 0.480426s

unsuccessful step! iteration = 55 , error before = 101442.532518 , error next = 103248.843207 , error change = -1806.310690 , lambda = 2.000000 , time consumption = 0.471585s

successful step! iteration = 56 , error before = 101442.532518 , error next = 100120.756118 , error change = 1321.776399 , lambda = 0.200000 , time consumption = 0.464070s

unsuccessful step! iteration = 57 , error before = 100120.756118 , error next = 101836.561934 , error change = -1715.805815 , lambda = 2.000000 , time consumption = 0.468029s

successful step! iteration = 58 , error before = 100120.756118 , error next = 98859.622898 , error change = 1261.133220 , lambda = 0.200000 , time consumption = 0.482928s

unsuccessful step! iteration = 59 , error before = 98859.622898 , error next = 100493.566172 , error change = -1633.943274 , lambda = 2.000000 , time consumption = 0.480229s

successful step! iteration = 60 , error before = 98859.622898 , error next = 97653.711845 , error change = 1205.911053 , lambda = 0.200000 , time consumption = 0.470818s

unsuccessful step! iteration = 61 , error before = 97653.711845 , error next = 99213.336965 , error change = -1559.625120 , lambda = 2.000000 , time consumption = 0.468472s

successful step! iteration = 62 , error before = 97653.711845 , error next = 96498.226983 , error change = 1155.484862 , lambda = 0.200000 , time consumption = 0.454650s

unsuccessful step! iteration = 63 , error before = 96498.226983 , error next = 97990.167753 , error change = -1491.940770 , lambda = 2.000000 , time consumption = 0.460023s

successful step! iteration = 64 , error before = 96498.226983 , error next = 95388.903671 , error change = 1109.323312 , lambda = 0.200000 , time consumption = 0.454891s

unsuccessful step! iteration = 65 , error before = 95388.903671 , error next = 96819.028787 , error change = -1430.125115 , lambda = 2.000000 , time consumption = 0.458522s

successful step! iteration = 66 , error before = 95388.903671 , error next = 94321.933402 , error change = 1066.970269 , lambda = 0.200000 , time consumption = 0.452928s

unsuccessful step! iteration = 67 , error before = 94321.933402 , error next = 95695.461294 , error change = -1373.527892 , lambda = 2.000000 , time consumption = 0.452608s

successful step! iteration = 68 , error before = 94321.933402 , error next = 93293.902606 , error change = 1028.030796 , lambda = 0.200000 , time consumption = 0.458005s

unsuccessful step! iteration = 69 , error before = 93293.902606 , error next = 94615.493517 , error change = -1321.590911 , lambda = 2.000000 , time consumption = 0.453201s

successful step! iteration = 70 , error before = 93293.902606 , error next = 92301.742217 , error change = 992.160390 , lambda = 0.200000 , time consumption = 0.456486s

unsuccessful step! iteration = 71 , error before = 92301.742217 , error next = 93575.573096 , error change = -1273.830879 , lambda = 2.000000 , time consumption = 0.461301s

successful step! iteration = 72 , error before = 92301.742217 , error next = 91342.685577 , error change = 959.056640 , lambda = 0.200000 , time consumption = 0.461325s

unsuccessful step! iteration = 73 , error before = 91342.685577 , error next = 92572.511890 , error change = -1229.826313 , lambda = 2.000000 , time consumption = 0.462729s

successful step! iteration = 74 , error before = 91342.685577 , error next = 90414.232951 , error change = 928.452626 , lambda = 0.200000 , time consumption = 0.458425s

unsuccessful step! iteration = 75 , error before = 90414.232951 , error next = 91603.443029 , error change = -1189.210079 , lambda = 2.000000 , time consumption = 0.458240s

successful step! iteration = 76 , error before = 90414.232951 , error next = 89514.121352 , error change = 900.111598 , lambda = 0.200000 , time consumption = 0.460266s

unsuccessful step! iteration = 77 , error before = 89514.121352 , error next = 90665.768520 , error change = -1151.647168 , lambda = 2.000000 , time consumption = 0.458230s

successful step! iteration = 78 , error before = 89514.121352 , error next = 88640.298663 , error change = 873.822689 , lambda = 0.200000 , time consumption = 0.484823s

unsuccessful step! iteration = 79 , error before = 88640.298663 , error next = 89757.154698 , error change = -1116.856035 , lambda = 2.000000 , time consumption = 0.490572s

successful step! iteration = 80 , error before = 88640.298663 , error next = 87790.901234 , error change = 849.397429 , lambda = 0.200000 , time consumption = 0.455932s

unsuccessful step! iteration = 81 , error before = 87790.901234 , error next = 88875.477059 , error change = -1084.575824 , lambda = 2.000000 , time consumption = 0.453693s

successful step! iteration = 82 , error before = 87790.901234 , error next = 86964.234381 , error change = 826.666853 , lambda = 0.200000 , time consumption = 0.457118s

unsuccessful step! iteration = 83 , error before = 86964.234381 , error next = 88018.809836 , error change = -1054.575456 , lambda = 2.000000 , time consumption = 0.467642s

successful step! iteration = 84 , error before = 86964.234381 , error next = 86158.755469 , error change = 805.478912 , lambda = 0.200000 , time consumption = 0.469546s

unsuccessful step! iteration = 85 , error before = 86158.755469 , error next = 87185.404143 , error change = -1026.648674 , lambda = 2.000000 , time consumption = 0.463672s

successful step! iteration = 86 , error before = 86158.755469 , error next = 85373.058558 , error change = 785.696911 , lambda = 0.200000 , time consumption = 0.459578s

