number of cameras: 16 , number of points: 22106 , number of observations: 83718 , iteration method: LM , initial lambda: 0.001000 , solve equations method: PCG-SSOR

successful step! iteration = 0 , error before = 45352606.330484 , error next = 337353.045922 , error change = 45015253.284562 , lambda = 0.000100 , time consumption = 0.481234s

successful step! iteration = 1 , error before = 337353.045922 , error next = 106242.175368 , error change = 231110.870554 , lambda = 0.000010 , time consumption = 0.471905s

successful step! iteration = 2 , error before = 106242.175368 , error next = 21128.973006 , error change = 85113.202361 , lambda = 0.000001 , time consumption = 0.475495s

successful step! iteration = 3 , error before = 21128.973006 , error next = 19092.247094 , error change = 2036.725912 , lambda = 0.000000 , time consumption = 0.465668s

successful step! iteration = 4 , error before = 19092.247094 , error next = 19089.346225 , error change = 2.900869 , lambda = 0.000000 , time consumption = 0.464428s

successful step! iteration = 5 , error before = 19089.346225 , error next = 19089.346145 , error change = 0.000080 , lambda = 0.000000 , time consumption = 0.465002s

successful step! iteration = 6 , error before = 19089.346145 , error next = 19089.346145 , error change = 0.000000 , lambda = 0.000000 , time consumption = 0.467679s

initial error = 45352606.330484 , final error = 19089.346145 , successful iterations/total iterations = 7/7 , total error change = 45333516.984339 , total time consumption = 3.291215s , average steps = 64.142857
