number of cameras: 16 , number of points: 22106 , number of observations: 83718 , iteration method: LM_TR , initial lambda: 0.000000 , solve equations method: PCG-BW-1

successful step! iteration = 0 , error before = 45352606.330484 , error next = 356048.755601 , error change = 44996557.574883 , lambda = 0.000860 , time consumption = 0.473476s

successful step! iteration = 1 , error before = 356048.755601 , error next = 86000.482741 , error change = 270048.272860 , lambda = 0.000287 , time consumption = 0.485757s

successful step! iteration = 2 , error before = 86000.482741 , error next = 42814.386006 , error change = 43186.096734 , lambda = 0.000096 , time consumption = 0.473163s

successful step! iteration = 3 , error before = 42814.386006 , error next = 23281.438088 , error change = 19532.947919 , lambda = 0.000032 , time consumption = 0.471313s

successful step! iteration = 4 , error before = 23281.438088 , error next = 19204.211023 , error change = 4077.227065 , lambda = 0.000011 , time consumption = 0.470321s

successful step! iteration = 5 , error before = 19204.211023 , error next = 19090.209415 , error change = 114.001607 , lambda = 0.000004 , time consumption = 0.469419s

successful step! iteration = 6 , error before = 19090.209415 , error next = 19089.348244 , error change = 0.861171 , lambda = 0.000001 , time consumption = 0.469512s

successful step! iteration = 7 , error before = 19089.348244 , error next = 19089.346146 , error change = 0.002098 , lambda = 0.000000 , time consumption = 0.468628s

successful step! iteration = 8 , error before = 19089.346146 , error next = 19089.346145 , error change = 0.000001 , lambda = 0.000000 , time consumption = 0.468100s

unsuccessful step! iteration = 9 , error before = 19089.346145 , error next = 19089.346145 , error change = -0.000000 , lambda = 0.000000 , time consumption = 0.470204s

unsuccessful step! iteration = 10 , error before = 19089.346145 , error next = 19089.346145 , error change = -0.000000 , lambda = 0.000001 , time consumption = 0.469140s

unsuccessful step! iteration = 11 , error before = 19089.346145 , error next = 19089.346145 , error change = -0.000000 , lambda = 0.000008 , time consumption = 0.469906s

successful step! iteration = 12 , error before = 19089.346145 , error next = 19089.346145 , error change = 0.000000 , lambda = 0.000008 , time consumption = 0.470716s

initial error = 45352606.330484 , final error = 19089.346145 , successful iterations/total iterations = 10/14 , total error change = 45333516.984339 , total time consumption = 6.129296s , average steps = 29.357143
