number of cameras: 16 ,number of points: 6 ,number of observations: 52, method: LM

camera id = 0, point id = 0, error_u = -3.524782, error_v = 3.400283
camera id = 1, point id = 0, error_u = 1.026292, error_v = -12.756455
camera id = 2, point id = 0, error_u = -0.831550, error_v = -2.660214
camera id = 7, point id = 0, error_u = -6.030673, error_v = 2.462983
camera id = 12, point id = 0, error_u = -40.797814, error_v = 15.977349
camera id = 13, point id = 0, error_u = -0.274235, error_v = -1.971045
camera id = 0, point id = 1, error_u = 11.990010, error_v = 0.303744
camera id = 1, point id = 1, error_u = -17.196561, error_v = 2.532622
camera id = 10, point id = 1, error_u = -24.894822, error_v = -11.879594
camera id = 0, point id = 2, error_u = 0.133729, error_v = 0.016178
camera id = 1, point id = 2, error_u = -35.335801, error_v = 0.959952
camera id = 2, point id = 2, error_u = 9.675968, error_v = 3.928767
camera id = 6, point id = 2, error_u = -10.585806, error_v = -5.903983
camera id = 7, point id = 2, error_u = 30.783957, error_v = 21.885092
camera id = 9, point id = 2, error_u = -24.747916, error_v = -7.677203
camera id = 10, point id = 2, error_u = -50.832985, error_v = -32.579181
camera id = 12, point id = 2, error_u = -2.240165, error_v = -1.290958
camera id = 13, point id = 2, error_u = -8.984414, error_v = 0.996568
camera id = 15, point id = 2, error_u = -13.071781, error_v = -7.163197
camera id = 0, point id = 3, error_u = 0.261447, error_v = -0.054501
camera id = 1, point id = 3, error_u = -35.206254, error_v = 1.520471
camera id = 2, point id = 3, error_u = 10.369951, error_v = 5.274045
camera id = 6, point id = 3, error_u = -9.613674, error_v = -4.985921
camera id = 7, point id = 3, error_u = 31.495516, error_v = 21.728132
camera id = 8, point id = 3, error_u = -6.263272, error_v = 1.306684
camera id = 9, point id = 3, error_u = -24.017078, error_v = -5.706150
camera id = 10, point id = 3, error_u = -50.578945, error_v = -31.336831
camera id = 12, point id = 3, error_u = -1.607818, error_v = -0.978253
camera id = 15, point id = 3, error_u = -12.719347, error_v = -6.925492
camera id = 0, point id = 4, error_u = -2.465046, error_v = -3.974309
camera id = 1, point id = 4, error_u = -31.292536, error_v = -19.455493
camera id = 2, point id = 4, error_u = 1.264296, error_v = 6.407341
camera id = 3, point id = 4, error_u = 3.740255, error_v = 0.542905
camera id = 5, point id = 4, error_u = -1.471396, error_v = 1.250132
camera id = 6, point id = 4, error_u = 5.671478, error_v = -24.863572
camera id = 8, point id = 4, error_u = -3.218818, error_v = -6.121725
camera id = 9, point id = 4, error_u = 12.034126, error_v = -29.478602
camera id = 11, point id = 4, error_u = 6.521759, error_v = -3.240042
camera id = 13, point id = 4, error_u = 1.111172, error_v = 0.586807
camera id = 14, point id = 4, error_u = 7.981971, error_v = -1.371919
camera id = 0, point id = 5, error_u = 0.747047, error_v = 5.282121
camera id = 1, point id = 5, error_u = -2.958596, error_v = -1.729556
camera id = 3, point id = 5, error_u = 3.590638, error_v = 7.771341
camera id = 4, point id = 5, error_u = -2.182356, error_v = -4.791282
camera id = 5, point id = 5, error_u = -1.540314, error_v = 1.463281
camera id = 6, point id = 5, error_u = 2.050216, error_v = -5.434865
camera id = 7, point id = 5, error_u = -5.524399, error_v = 11.725221
camera id = 8, point id = 5, error_u = -0.964111, error_v = -3.720745
camera id = 9, point id = 5, error_u = 8.676972, error_v = -20.514099
camera id = 10, point id = 5, error_u = 4.528742, error_v = -14.792293
camera id = 13, point id = 5, error_u = 0.855303, error_v = -0.786883
camera id = 15, point id = 5, error_u = 0.508842, error_v = -4.050888
successful step! iteration = 0, error before = 11339.319739, error next = 3288.894048, lambda = 0.000010

camera id = 0, point id = 0, error_u = -1.606761, error_v = 0.156987
camera id = 1, point id = 0, error_u = -2.561898, error_v = -2.387091
camera id = 2, point id = 0, error_u = -4.267243, error_v = -2.148339
camera id = 7, point id = 0, error_u = -5.131753, error_v = -0.370872
camera id = 12, point id = 0, error_u = 3.676021, error_v = -3.599420
camera id = 13, point id = 0, error_u = 0.636505, error_v = 1.718845
camera id = 0, point id = 1, error_u = 1.818783, error_v = 0.045670
camera id = 1, point id = 1, error_u = -5.241006, error_v = -1.084930
camera id = 10, point id = 1, error_u = 2.172431, error_v = -3.959194
camera id = 0, point id = 2, error_u = -0.487275, error_v = -0.311652
camera id = 1, point id = 2, error_u = -6.261620, error_v = -1.015952
camera id = 2, point id = 2, error_u = 0.618994, error_v = 0.543928
camera id = 6, point id = 2, error_u = 3.629758, error_v = -1.730291
camera id = 7, point id = 2, error_u = -3.597408, error_v = 2.019649
camera id = 9, point id = 2, error_u = 30.753027, error_v = 12.728974
camera id = 10, point id = 2, error_u = 2.522826, error_v = -4.390800
camera id = 12, point id = 2, error_u = -8.595998, error_v = -0.368979
camera id = 13, point id = 2, error_u = -2.242100, error_v = 1.004654
camera id = 15, point id = 2, error_u = -0.734705, error_v = 0.102039
camera id = 0, point id = 3, error_u = -0.488211, error_v = -0.466712
camera id = 1, point id = 3, error_u = -6.292927, error_v = -1.054171
camera id = 2, point id = 3, error_u = 0.460556, error_v = 0.639825
camera id = 6, point id = 3, error_u = 3.540983, error_v = -1.618508
camera id = 7, point id = 3, error_u = -3.609903, error_v = 1.949406
camera id = 8, point id = 3, error_u = 0.174364, error_v = -0.627385
camera id = 9, point id = 3, error_u = 30.616072, error_v = 12.800444
camera id = 10, point id = 3, error_u = 2.333988, error_v = -4.403696
camera id = 12, point id = 3, error_u = -8.594180, error_v = -0.286262
camera id = 15, point id = 3, error_u = -0.630169, error_v = -0.139070
camera id = 0, point id = 4, error_u = -0.505124, error_v = -0.741598
camera id = 1, point id = 4, error_u = -5.109577, error_v = -4.254065
camera id = 2, point id = 4, error_u = -2.113461, error_v = 2.466481
camera id = 3, point id = 4, error_u = -7.238380, error_v = 4.782631
camera id = 5, point id = 4, error_u = 2.172423, error_v = -0.537785
camera id = 6, point id = 4, error_u = 3.484416, error_v = -4.485638
camera id = 8, point id = 4, error_u = 1.674565, error_v = -1.949774
camera id = 9, point id = 4, error_u = 20.693101, error_v = 0.168757
camera id = 11, point id = 4, error_u = 2.851846, error_v = -1.230542
camera id = 13, point id = 4, error_u = 0.432688, error_v = 0.137742
camera id = 14, point id = 4, error_u = 3.178523, error_v = -0.739377
camera id = 0, point id = 5, error_u = -0.235837, error_v = -0.185256
camera id = 1, point id = 5, error_u = -4.349483, error_v = -0.804924
camera id = 3, point id = 5, error_u = -3.273710, error_v = 1.057326
camera id = 4, point id = 5, error_u = -1.114635, error_v = -1.216346
camera id = 5, point id = 5, error_u = 1.975576, error_v = -0.682842
camera id = 6, point id = 5, error_u = 5.994068, error_v = 1.977101
camera id = 7, point id = 5, error_u = -10.417842, error_v = 0.973752
camera id = 8, point id = 5, error_u = -1.406680, error_v = 0.298194
camera id = 9, point id = 5, error_u = 42.483732, error_v = 34.786374
camera id = 10, point id = 5, error_u = 3.335544, error_v = -5.123152
camera id = 13, point id = 5, error_u = -0.344146, error_v = 1.528199
camera id = 15, point id = 5, error_u = -0.339596, error_v = 0.250581
unsuccessful step! iteration = 1, error before = 3288.894048, error next = 156488.082104, lambda = 0.000100

camera id = 0, point id = 0, error_u = -1.606761, error_v = 0.156987
camera id = 1, point id = 0, error_u = -2.561898, error_v = -2.387091
camera id = 2, point id = 0, error_u = -4.267243, error_v = -2.148339
camera id = 7, point id = 0, error_u = -5.131753, error_v = -0.370872
camera id = 12, point id = 0, error_u = 3.676021, error_v = -3.599420
camera id = 13, point id = 0, error_u = 0.636505, error_v = 1.718845
camera id = 0, point id = 1, error_u = 1.818783, error_v = 0.045670
